CLINIC NAME,ADDRESS,MOBILE NO,WEBSITE,RESPONSIVE
HOMEOPATHY HELTHCARE CLINIC DR NARAYAN RANJAN DASH,CHOUDRY BAZAR,8895797073,YES,CHINDI
DENTO-O-CARE,CHARBATIA ,7008718736,NO,
DR. JALAL'S DENTAL & IMPLANT CLINIC,CHARBATIA,9338131843,YES,CHINDI
THE DENTAL PLANET,CHOUDRY BAZAR,9692550002,YES,CHINDI
SIMILE ON DENTAL CARE,BIJU PATTNAIK PARK SQUARE,9348846102,NO,
OM PATHOLAB & CLINC,DURGA CHOWK,7008432633,NO,
JAYGURU POLLY CLINIC,NEAR BUXI BAZAR,9937425926,NO,
KAR DENTAL CLINIC AND HOSPITAL,CDA-6,9439164798,NO,
DR.PATHOLAB,"CHAMAPATI,JAGATPUR",7377345008,NO,
DR. SACHIDANANDA DASH,"KISHAN BIHAR,CUTTACK",9438127863,NO,
DR SUBHRANSU SKIN,"TULSIPUR,CUTTACK",7008613242,NO,
VITAL 32 DENAL CLINIC,CDA-6,7855998384,YES,CHINDI
EMERGE ADVANCE PHYSOTHERAPY CLINIC,CDA-7,7735599380,YES,CHINDI
MEDICLINIC  ODISHA,"SURYA VIHAR, CUTTACK",8280032150,NO,
SHRIYA HOMEO CLINIC DR.GEETAJANLI SAHU,ORIYA BAZAR,9337288853,YES,CHINDI
BAIDYARAJ UPENDRANARAYAN DASH CLINC,"RAJABAGICHA,CUTTACK",7008344580,NO,
SAI RAM CLINIC,"TULSIPUR,CUTTACK",9938141584,NO,
SANGEETA AGARWAL CLINIC,"RAJABAGICHA,CUTTACK",6712310290,YES,CHINDI
AJMERA NOORANI MEDICAL CLINIC,CHAMPATI,9861234172,NO,
DEY'S PHYSOTHERAPY & REHABILITATIONS CLINIC,"KALAMANDAP LANE,PITHAPUR",7008820502,YES,CHINDI
CHANDI DAS EYE CLINC,"RAJABAGICHA,CUTTACK",7205760275,YES,CHINDI
DIVYA JYOUTI MEDICINE STORE AND CLINC,"MANAGALA SAHI,BALIPATNA,CUTTACK",9338087434,YES,CHINDI
COMHTS,CDA-9,8112292416,NO,
SMILE ON DENTAL CLINIC,"TULSIPUR,CUTTACK",9348846102,YES,CHINDI
SHRI SWAPNESWAR HOMEO CLINIC,"KAJIPATNA,CUTTACK",8895460960,NO,
PEARL HAIR CLINIC,CDA-6,7008801645,YES,NORMAL
SHARDHA CLINIC,"KAHTRAPA,JAPKUD",6371464979,NO,
MANISHREE DENTAL CLINIC & IMPLANT CENETER,TRISULIA CHAK,8908560125,YES,CHINDI
ODIGYAN FERTILITY & HOSPITAL,CDA-6,7735906101,NO,
BEING PHYSIO PHYSIOTHERAPY CLINIC,CDA-9,9777119406,YES,CHINDI
DR HAREKRUSHNA SAHU,CDA-6,8750666747,YES,CHINDI
BAJORIA DENTAL CARE & RESEARCH,TOWNHALL ROAD,7809877600,YES,CHINDI
JAY DRUG MEDICAL HALL,PRESS CHAK,9438273264,NO,
MAA DURGA DENTAL CLINIC,"OTM BAZAR ,CUTTACK",7205008161,NO,
RGDIAGONSTICS,AGRAHAT,8093105787,NO,
ODISHA POLYCLINIC,"KAPILPRASAD,BBSR",9124508591,YES,NO
KAMINI CLINIC,"KHANDAGIRI,BBSR",9861451521,YES,CHINDI
KAR CLINIC AND HOSPITAL,BHUMA NAGAR,9438555555,NO,
DRKURE SMART CLINIC,RASULGARH,9556375873,YES,CHINDI
ODISHA HEALTH CLINIC,PATRAPADA ,7008745883,YES,CHINDI
Jeevan Jyoti Clinic,NAYAPALLI,9938413303,NO,
UTKAL CLINIC,"SURYA NAGAR,BBSR",7205792463,YES,CHINDI
BHUBANESWAR SUPER SPECIALLITY CLINIC,VANI VIHAR,9439350851,YES,CHINDI
MULTYCARE HOMEO CLINIC,CHANDRASHEKHAR PUR,9937412150,YES,CHINDI
FAMILY HEALTH CARE,ANATA VIHAR,8984897498,YES,CHINDI
PAIN FREE ODISHA,NAYAPAILLI,7606002165,YES,CHINDI
WELLCARE CLINIC,JAHRPADA,9438263166,YES,CHINDI
VARSHA CLINIC,BARMUNDA,9778545205,YES,CHINDI
THE FACE CLINC,SAHEED NAGAR,9937174950,YES,CHINDI
AURASHREE MULTISPECALITY CLINIC,NANDAN VIHAR,6370571179,YES,CHINDI
XPERT CLINIC,NEELADRI VIHAR,6262725353,NO,
SUZI CLINIC,SAHEED NAGAR,6742546611,NO,
MED ZONE PLUS,SAMANTARAPUR,8249798477,NO,
DR. JITENDRA MISHRA ORTHOPEDIC CLINIC,NAYAPAILLI,7609097997,YES,CHINDI
PILES CLINC BHUBANESWAR,"NEAR BUDHESWAR TEMPLE,CUTTACK ROAD",6742310255,NO,
REMIND CENTER PSYCHIATRIC CLINIC,NAYAPAILLI,9568830001,YES,CHINDI
AESTHETICA CLINIQUE,PATITAPABAN NAGAR,9937252555,YES,CHINDI
LASER PILES CENETER AND COSMETOLOGY,SAHEED NAGAR,9090211616,YES,CHINDI
SWASTHYA POLYCLINIC,NEELADRI VIHAR,9124886423,NO,
ASHU SKIN CARE,JAYDEV VIHAR,9583471256,YES,CHINDI
DR CHANDAN'S JOINT CLINC,SAINIK SKIN RD,8917526007,NO,
LIFE CARE NEURO CLINIC,NALCO SQUARE,7205901640,YES,NORMAL
CURE POINT MULTISPECALITY CLINIC,CHANDRASHEKHAR PUR,7008279667,YES,CHINDI
VIP133 SWASTIK CLINC,NAYAPAILI,6742551633,YES,CHINDI
APPLO SUGAR CLINIC,GAJAPATI NAGAR,8800228193,YES,CHINDI
TATTVA,SAMANTA VIHAR,8093012763,YES,CHINDI
ENDEAVOUR CLINICS,NAYAPAILI,9937848498,YES,CHINDI
NEO CLINIC,MIO AMORE MUZEUM,9178652056,NO,
ASPIRE CLINIC,GAUTAM NAGAR,8338000022,YES,CHINDI
SNEHA CLINIC,NAGESWAR TANGI,9338208009,YES,CHINDI
SKIN TECH CITY,CHANDRASHEKHAR PUR,7008624033,YES,NOT BAD
AROGYAM CLINIC SISIR MOHAPATRA,BHOUMA NAGAR,9437120435,YES,CHINDI
KAR CLINIC NEW OPD,BHOUMA NAGAR,9438555555,NO,
DOCTOS POLYCLINC,GANGA NAGAR,9437517468,NO,
NEW ZENITH CLINIC & PATHOLAB,LAXMI SAGAR,7008948848,NO,
BHUBANESWAR CLINIC,LAXMI SAGAR,6742312325,NO,
SEBA CLINIC,BARMUNDA,8018324164,NO,
BHUBANESWAR POLY CLINIC,BARMUNDA,8018324164,NO,
MR.HEALTH PHARMACY &CLINIC,NAYAPALLI,8093554570,YES,CHINDI
BHUBANESWAR ENT AND DENTAL CARE,NAYAPALLI,9437004455,YES,NORMAL
HAIR HARMONY AND YOU,NAYAPALLI,8260437151,YES,NORMAL
SARVIKA GLAM CLINC,JAYDEV VIHAR,7008756291,YES,NORMAL
DR SC MALLICK,RASULGARH,9040528465,NO,
DR.DALAL'S CLINIC,BARMUNDA,6742354477,YES,NOT BAD
DR.CHINAMYEE CHIRANJIBI PALSTIC SURGERY CLINIC,NAYAPALLI,9437009220,YES,CHINDI
PUSPA CLINIC ,BARMUNDA,9437136000,YES,NORMAL
ESS EMM CLINIC,LAXMI SAGAR,8895153007,YES,CHINDI
CARE N CURE,SAHEED NAGAR,8763034666,YES,CHINDI
REKHA POLY CLINIC,OLD TOWN,6742434706,YES,CHINDI
DR PAULS,SAHEED NAGAR,8339923053,YES,NORMAL
DR. VINAYAK DIABETIES CLINIC,SAHEED NAGAR,7788996968,YES,CHINDI
AASTHA DIAGONSTIC CENTER,MADHUSADAN NAGAR,6746450740,YES,CHINDI
DYNAMIC CLINICS,NAYAPALLI,9078573946,YES,NORMAL
MEDICINE SPECALIST CLINIC,NAYAPALLI,7064427700,YES,NOT BAD
DR PRADEEP KUMAR MISHRA,JAYDEV VIHAR,8114367780,YES,CHINDI
DR. TAPAS MISHRA,KHARVAL NAGR,9938587283,NO,
NILAMANI DENTAL CLINIC,LAXMI SAGAR,9437303344,YES,CHINDI
PRACHI CLINIC & FERTILITY CENTER,NAYAPALLI ,6742558656,NO,
ACHARYA VIHAR CLINIC,VIP ROAD,9437120385,YES,CHINDI
MODERN ORTHO AND ENT CLINC,NAYAPALLI,9437928686,NO,
DR DALAI'S DIABETES AND HYPER TENSION CLINC,SAHEED NAGAR,8895182567,YES,CHINDI
PINNACLE CLINIC,NAYAPALLI,9124787023,YES,NOT BAD
DENTAL IMPLANTS CLINIC,KANAN VIHAR,9238177709,YES,CHINDI
DR.NIRLIPTA DASH,NAYAPALLI,9692806161,YES,NOT BAD
EBULLIENCE CLLINCS,CHANDRASHEKHAR PUR,8004192019,YES,CHINDI
AESTHETICA ,JAYDEV VIHAR,9937077778,NO,
ASMI CLINIC,JAYDEV VIHAR,7008016679,YES,NOT BAD
STELLA HAIR AND SKIN CLINIC,"SURYA NAGAR,BBSR",9583455667,YES,NORMAL
BRAIN & SPINE CLINIC,BARMUNDA,7008356003,NO,
STREE CLINIC,ASHOK NAGAR,6742533779,NO,
POLYCARE CLINIC,NAYAPALLI,9861077789,yes,chindi
MAMATA ORTHODONTIC CLINIC,SAHEED NAGAR,9438422033,YES,CHINDI
OASIS FERTILITY - BEST IVF CENTER,JAYADEV BIHAR,8951394356,YES,NOT BAD
TheWELLHOLICS,"NILAKANTHA NAGAR,NAYAPPI",6742954736,YES,NOT BAD
SAI PHYSIO CARE,SRI AUROVINDA NAGAR,9437172861,YES,CHINDI
THE HEART CLININC,GAJAPATI NAGAR,8339060071,YES,CHINDI
ASHU AESTHETIC & WELNESS CLINIC,JAYDEV VIHAR,7381254569,YES,NORMAL
SHREE SANTOSHI MULTISPECALITY CLINIC,CHANDRASHEKHAR PUR,6742744450,YES,CHINDI
CARE CLINIC,BAYA BABA MATHA RD,8697226820,NO,
Dr.SANGHMITRA GUDGE SKIN CLINIC,JHARPADA,9777123100,YES,NORMAL
ORTHO ONE BEST JOINT AND KNEE CLINIC IN BBSR,ACHARYA VIHAR,9439018585,NO,
ACTOVITS PHYSIO CLINIC,GAJAPATI NAGAR,7978815290,YES,CHINDI
NILAMANI DENTAL CLINIC,JAYDEV VIHAR,7008043485,YES ,CHINDI
NEUMED NEUROLOGY CLINIC,NAYAPALI,7894221111,YES,CHINDI
BIRLA FERTILITY & IVF CENTER,SAHEED NAGAR,9958877762,YES,NOT BAD
DR.SAMBIT DAS,"IRC VILLAGE,NAYAPALI",8895243059,YES,NOT BAD
DR. PAUL HAIR,"SURYA NAGAR,BBSR",9583155667,YES,NORMAL
"DR. BISWAJIT RATH, SHANTI NEUROLOGY CLINIC",SAHEED NAGAR,7657098252,YES,CHINDI
CARE AND CARE POLYCLINIC,FOREST PARK,9861115693,YES,CHINDI
ZENITH CLINIC,KAHNDAGIRI,9668487984,YES,CHINDI
DENTAL IMPLANTS CLINIC,PATIA,9238177709,YES,NOT BAD
NIRMAYAOPTIMA CLINIC,ACHARYA VIHAR,9692883788,YES,NORMAL
SIVANAND CLINIC BBSR,FOREST PARK,9874617001,YES,CHINDI
PAIN AND FITNESS PHYSIOTHERAPY CLLINIC,NILADRI VIHAR,9778690470,YES,NORMAL
NIOCRAAFT ,SAHEED NAGAR,9090116555,YES,NOT BAD
S.S CLINIC,KALYANI MARKET,9938538933,YES,CHINDI
"AGARWAL SKIN,HAIR AND LASER CLINIC",SAHEED NAGAR,9937565511,YES,CHINDI
SAI CLINIC,"IRC VILLAGE,NAYAPALI",6372752216,NO,
HEALTH CURE POLY C;INIC AND LAB,CHANDRASHEKHAR PUR,6742741523,YES,CHINDI
FAST CURE,JAYDEV VIHAR,7325803318,YES,NORMAL
DR P.KHATUA ELECTROUOMEOPATHY CLINIC,ACHARYA VIHAR,9337117070,YES,CHINDI
DHAWANTAREE ,"IRC VILLAGE,NAYAPALI",9776655073,YES,CHINDI
GLOBE PHYSIO CELL,SAHEED NAGAR,9938684583,YES,NOT BAD
A.R MATERNITY CLLINC,CRPF QUARE,7683867333,YES,NORMAL
DR ARJIT MOHAOTRA,JAYDEV VIHAR,9437193334,YES,NORMAL
DR.SANATAN SPINE AND ORTHOPEDIC CLINIC,SAMANTA VIHAR,9861043197,NO,
LASER SMILE DENTAL CARE,SAHEED NAGAR,9437314389,NO,
NATURAL DREMA CLINIC,"IRC VILLAGE,NAYAPALI",9776671509,YES,CHINDI
DR MOHAPATRA HOMEOIPATHIC CLINIC,"IRC VILLAGE,NAYAPALI",9658967515,YES,CHINDI
DPAK DENTAL SALON,"NAGESAWR,TANGI,BBSR",9861041700,YES,CHINDI
DENTAL AVUENE CLINIC,CHANDRASHEKHAR PUR,7008639141,YES,CHINDI
GYNOVEDA,KHARVAL NAGR,7240000700,YES,NOT BAD
DR.PRATIK SAHOO(UROLOGIEST),SAMANTA VIHAR,8260338007,NO,
32 IVORIES DENTAL CLINIC,NAYAPAILI,8984018344,YES,NORMAL
SR SPEECH AND HEARING REHABILITATION CENTER,NAYAPAILI,7878754280,YES,CHINDI
CAREX CLINIC,"KAPILPRASAD,BBSR",9861297471,YES,CHINDI
RICHIFEEL TRICHOLOGY,SATYA NAGAR,9205963200,YES,CHINDI
DR R.K.PANDA,"SURYA NAGAR,BBSR",9348227207,YES,CHINDI
DR JAGAMOHAN MISHRA UROLOGIST IN BBSR,BHUOUMA NAGAR,9937476679,YES,NORMAL
LOTUS HAIR TRANSPLANT ,ACHARYA VIHAR,7008953857,YES,CHINDI
EYE CLINIC (HARENDRA OPTICALS),BHOUMA NAGAR,9437105533,YES,CHINDI
DR.RAMBHARA PRAGNYA-SKIN DOCTOR,ASHOK NAGAR,8040184694,NO,
DR K.R MOHAPATRA,FOREST PARK,7978577252,YES,CHINDI
GYNOCARE,ACHARYA VIHAR,8984430093,NO,
DR ABHISEK ANAND CLINIC,"MAITRI VIHAR,NALCONAGAR",9871159140,NO,
"DR,GRIN DENTAL HUB",VSS NAGAR,9861353220,YES,OK
SMILE UP,JAYDEV VIHAR,9040041220,YES,CHINDI
UCC DENTAL HOSPITAL,"MADHUSUDAN NAGAR,NAYAPALI",9971053540,YES,CHINDI
SAI MANISHREE DIAGONOSTICS,BARMUNDA,7852942513,YES,CHINDI
GOPABANDHU HOMEO PHARMACY AND CLINIC,NAYAPALLI,9337251779,YES,CHINDI
PUJA GYANEC CLINIC,SHASTRI NAGAR,7735343062,NO,
AaSTHA DENTAL CARE,"MADHUSUDAN NAGAR,NAYAPALI",8249019847,NO,NOT BAD
FEME FERTILITY FOUNDATION,JAYDEV VIHAR,9941551661,NO,
CLINIC SWASTIK,NAKHARANTA,8984202446,YES,CHINDI
BEST PHYSIOTHERAPY CLINIC,RASULGARH,9717279106,YES,CHINDI
LIFE CARE CLINIC AND DIAGNOSTICS,NAYAPALI,6743568648,YES,CHINDI
MOTION MEDICS,"IRC VILLAGE,NAYAPALI",8117820862,YES,CHINDI
THE ENAMEL DENTAL CLINIC,JAYDEV VIHAR,9090004008,YES,CHINDI
dr.KALIPRASAD SATHPATHY,GAJAPATI NAGAR,8062970305,YES,APPOLO
JUST SMILE MAXILOFICAL AND DENTAL CLINIC,VANI VIHAR,7008106656,YES,CHINDI
DR.DIPTY DENTAL CLINIC,BARMUNDA,7077993549,YES,CHINDI
SAI POLY CLINIC,"RAMBAZAR CHAK,GOPAL PUR",9658711620,NO,
THE MIND CLINIC,SAHEED NAGAR,7735561448,YES,CHINDI
MY DENTTIST ,"MADHUSUDAN NAGAR,NAYAPALI",9040267717,NO,
SMILE AVENUE IMPLANT CENTER,SAHEED NAGAR,7008815509,NO,
SP'S SMILE ARC DENTAL CLINIC,GAJAPATI NAGAR,9776247370,YES,NORMAL
THE CARE 32 MULTISPECIALITY DENTAL CLINIC,VANI VIHAR,7327859692,YES,ERROR
APPLO DENTAL,CHANDRASHEKHAR PUR,8249544351,YES,APOLLO
HEALING POINT PSYOTHERAPY CLINIC,RASULGARH ,8249632254,YES,NOT BAD
LITTLE SMILE DENTAL CLINIC,SAHEED NAGAR,7657054244,YES,CHINDI
ADVANCE HAIR TRANSPLANET CLINIC,GOPABANDHU NAGAR,8872774425,YES,CHINDI
REJUVINE SPINE CLINIC,KALINGA HOSPITAL RD,9776813773,NO,
SMILE CRAFT DENTAL CLINIC,LAXMI SAGAR,7008903766,YES,CHINDI
DENTIST,JAYDEV VIHAR,9937255588,NO,
MAA KICHAKESWARI DENTAL CLINIC,BHOUMA NAGAR,7008356488,NO,
DR.DEBABRATA DAS DENTAL CLINIC,APPLO HOSPITAL RD,8069049752,YES,NORMAL
BASUDEV CLINIC & THYRO CARE COLLETION,"SISUPALGARH,BBSR",9776962700,NO,
SRL CLINIC,SUNDARPADA RD,7978054167,YES,CHINDI
KALINGA DENTAL CLINIC,"IRC VILLAGE,NAYAPALI",6742554343,YES,CHINDI
SANTAAN FERTILITY CLINIC AND RESEARCH INSTITUTE,"IRC VILLAGE,NAYAPALI",9337326896,NO,
FOSTER PHSYOTHERAPY SPORTS INJURY AND PAIN CLINIC,NILKANTHA NAGAR,9861416926,YES,NORMAL
CONFIDENTIAL ,GOURI NAGAR,9437910606,NO,
S S HEALTH POINT,BUDHA NAGAR,9658250035,NO,
R.S DENTAL CLINIC,BJB NAGAR,9178778098,YES,CHINDI
MAA BALAKUMARI PATHOLOGY CLINIC,"IRC VILLAGE,NAYAPALI",9861449734,NO,
SHANTI EYE CLINIC,"IRC VILLAGE,NAYAPALI",9090387599,YES,CHINDI
DR J M RAO,BHOUMA NAGAR,6742517094,YES,CHINDI
Sun Clinic & Hospital, ,9853180017,YES,CHINDI
THE TOOTH DOC, ,9861605068,YES,CHINDI
LIFE LINE CLINIC AND NURSHINGH HOIME,Jagatshingh pur,9090567500,YES,NORMAL
DAYAL SADHANA CLINIC,DURGA BAZAR,7992786167,YES,CHINDI
AROGYA HOMEO CLINIC,GOPALSAGAR,8249660821,NO,
CARE NETRAM VISION CENETR,Jagatshingh pur,6764231282,YES,NORMAL
ORTHAPEDIC & NEUROLOGY CLINIC,Jagatshingh pur,9658391430,YES,CHINDI
32 PEARL DENTAL CLINIC,MEDICAL RD,9556231966,NO,
MODERN HEALTH CARE,SANA BAZAR,8144421756,NO,
SWASTIK CLINIC & NURSHINGH HOME,PANI KALIA,6724221055,YES,NORMAL
BIRAJA DENTAL CLINIC,"GANDHI CHOWK,JAGATSHINGH PUR",7852996591,NO,
MOTHER LAB & IMAGING CENETER,Jagatshingh pur,9438054394,YES,NORMAL
DANTA KAUMUDI A MULTSISPECALLY DENTAL CLINIC,Jagatshingh pur,6371724140,YES,NOT OPEN
DR SARANGI HOMEOPATHIC CLINIC,Jagatshingh pur,6724220464,NO,
OMM SPINE & MUSCAL PHYSIOTHERAPY,JAIPUR ROAD,8327790558,NO,
LALAN OPTICAL & EYE CLINIC,Jagatshingh pur,9776491234,NO,
ALPHA DENTAL CLINIC,JAGATSHINGHPUR,8280063514,YES,NORMAL
DHANWANTARI AYRVEDIC CLINC,Jagatshingh pur,9937374955,NO,
Aarogyashree Physiotherapy,JAGATSHINGHPUR,9853001431,NORMAL,
THE BONE & MUSCLE PHYSIOTHERAPY,JAGATSHINGHPUR,9776306305,YES,CHINDI
ORAL AND DENTAL CARE,DURGA BAZAR,9437103379,NO,
PANCHASAKHA AYURVEDIC,Jagatshingh pur,9040606066,NO,
DENTAL CLINIC-DR SAMAYAK DAS,RAGHUNATHPUR,6371282524,NO,
AUDIM HEARING AID CLINIC JAGATSHINGHPUR,DURGA BAZAR,8050604137,YES,CHINDI
CUREBAY ECLINIC ,RAGHUNATHPUR,9348922606,NO,
"DR KHAGESWAR NAYAK, M.D. (AY.),",KENDRAPADA,9437169967,YES,CHINDI
DENTAL CARE,"KENDRAPADA,GULSINGH",8249637674,YES,CHINDI
HAMDARD UNANI CLINIC,"KENDRAPADA,GARAPUR",8984667767,YES,CHINDI
SIFA MEDICINE STORE,"BADAHAT,KENDRAPADA",9776049576,YES,CHINDI
"FA,MILY DENTAL CLINIC",KENDRAPADA,8144612391,NO,
DENTAL CLINIC,"GULASINGH,KENDRAPADA",8249637674,YES,CHINDI
HEMADANTA DENTAL CLINIC,KENDRAPADA,7008747789,YES,CHINDI
FAMILY DENTAL CLINIC,RAMNAGAR KENDRAPADA,8144612391,NO,
DR.HOSSAIN'S HOMEOPATHIC CLINIC,KENDRAPADA,8763740528,NO,
NARAYANI DENTAL CLINIC,CHAKARA,8339025353,YES,CHINDI
HEALTH CARE DENTAL CLINIC,"BALAGANDI BAZAR,KENDRAPDA",9556657724,YES,CHINDI
SIMLE DENTAL CARE,KENDRAPADA,9556537349,NO,
TULASI DIAGNOSTICS & POLY CLINIC,KENDRAPADA,9853867243,NO,
DIVAYAM HEALTH CARE,KENDRAPADA,9938441670,NO,
